Serial_Number,Schedule_Number,Depot_Code,Count,Depots
276,280C,11,1,11
184,280E,30,1,30
306,280F,11,4,11
307,280F,11,4,"11,11"
471,280F,39,4,"11,11,39"
4391,280F,30,4,"11,11,39,30"
151,280K,30,1,30
223,280L,30,1,30
266,280M,30,1,30
356,281A,30,1,30
164,281C,11,1,11
69,281F,11,1,11
201,281G,30,1,30
87,281K,11,1,11
24,282A,11,2,11
149,282A,30,2,"11,30"
148,282B,30,2,30
269,282B,11,2,"30,11"
163,282C,30,1,30
179,282D,11,1,11
188,282F,30,1,30
26,282G,11,1,11
100,282H,11,1,11
171,283A,30,1,30
169,283B,30,1,30
296,283D,11,1,11
30,283E,11,1,11
114,284A,11,3,11
124,284A,30,3,"11,30"
884,284A,11,3,"11,30,11"
5623,284B,11,1,11
27,284C,11,1,11
12,284D,11,13,11
65,284D,11,13,"11,11"
71,284D,11,13,"11,11,11"
73,284D,11,13,"11,11,11,11"
112,284D,11,13,"11,11,11,11,11"
203,284D,30,13,"11,11,11,11,11,30"
309,284D,11,13,"11,11,11,11,11,30,11"
314,284D,30,13,"11,11,11,11,11,30,11,30"
1313,284D,30,13,"11,11,11,11,11,30,11,30,30"
1336,284D,30,13,"11,11,11,11,11,30,11,30,30,30"
5475,284D,11,13,"11,11,11,11,11,30,11,30,30,30,11"
5476,284D,11,13,"11,11,11,11,11,30,11,30,30,30,11,11"
5818,284D,11,13,"11,11,11,11,11,30,11,30,30,30,11,11,11"
116,284E,11,1,11
32,284G,11,1,11
5882,284H,33,1,33
25,285A,11,1,11
319,285AA,30,1,30
115,285B,11,2,11
1111,285B,11,2,"11,11"
189,285C,30,1,30
57,285CA,11,1,11
242,285CB,30,1,30
297,285CC,11,1,11
194,285D,30,1,30
5809,285DA,30,1,30
355,285E,30,1,30
215,285F,30,1,30
346,285G,30,1,30
19,285H,11,1,11
95,285J,11,1,11
214,285JA,30,1,30
210,285JB,30,1,30
257,285JC,30,1,30
1345,285JE,30,1,30
4,285K,11,1,11
254,285KA,30,1,30
5,285L,11,1,11
81,285M,11,16,11
82,285M,11,16,"11,11"
84,285M,11,16,"11,11,11"
88,285M,11,16,"11,11,11,11"
